id,name,show_id,count,percent
468,Bolanle Austen-Peters,81191666,1,0.014660606949127693
469,Bong Joon Ho,"70270364,80091936",2,0.029321213898255385
470,Bonni Cohen,80097321,1,0.014660606949127693
471,Borja Cobeaga,80134526,1,0.014660606949127693
472,Brad Anderson,"70304988,80223997",2,0.029321213898255385
473,Brad Bird,"80221639,81059388",2,0.029321213898255385
474,Brad Peyton,70132722,1,0.014660606949127693
475,Brad Rothschild,80128692,1,0.014660606949127693
476,Bradley Parker,70233317,1,0.014660606949127693
477,Bradley Walsh,80242446,1,0.014660606949127693
478,Brandon Camp,80204923,1,0.014660606949127693
479,Brandon Dickerson,80145512,1,0.014660606949127693
480,Brandon Jones,80191665,1,0.014660606949127693
481,Brandon Kimber,80044562,1,0.014660606949127693
482,Brandon Oldenburg,70304298,1,0.014660606949127693
483,Brandon Somerhalder,80213400,1,0.014660606949127693
484,Brant Sersen,80990534,1,0.014660606949127693
485,Brendan Byrne,80126507,1,0.014660606949127693
486,Brendan Malloy,80208793,1,0.014660606949127693
487,Brendan Toller,80095806,1,0.014660606949127693
488,Brendon Marotta,81000861,1,0.014660606949127693
489,Brent Bonacorso,80155477,1,0.014660606949127693
490,Brent Maddock,60021377,1,0.014660606949127693
491,Brett Haley,80039050,1,0.014660606949127693
492,Brett Harvey,80150246,1,0.014660606949127693
493,Brett Ratner,"1179583,70222860",2,0.029321213898255385
494,Brett Whitcomb,70296765,1,0.014660606949127693
495,Brian A. Miller,80013712,1,0.014660606949127693
496,Brian Baugh,81078908,1,0.014660606949127693
497,Brian De Palma,"352989,80200087",2,0.029321213898255385
498,Brian Helgeland,80057599,1,0.014660606949127693
499,Brian Klein,"80158919,80214087",2,0.029321213898255385
500,Brian Knappenberger,80168227,1,0.014660606949127693
501,Brian Levant,"510854,60000921",2,0.029321213898255385
502,Brian M. Conley,81026677,1,0.014660606949127693
503,Brian McGinn,80081155,1,0.014660606949127693
504,Brian Niles,81013112,1,0.014660606949127693
505,Brian O'Malley,80224150,1,0.014660606949127693
